PRECIPITACAO_TOTAL_HORARIO_mm,TEMPERATURA_DO_AR_BULBO_SECO_HORARIA,UMIDADE_RELATIVA_DO_AR_HORARIA_porcent,VENTO_DIRECAO_HORARIA
0.0,27.0,56.0,326.0
0.0,27.3,56.0,318.0
0.0,24.7,62.0,331.0
0.0,24.6,65.0,324.0
0.0,24.2,69.0,332.0
0.0,22.6,75.0,307.0
0.0,21.7,76.0,245.0
0.0,22.1,79.0,280.0
0.0,21.0,82.0,284.0
0.0,20.9,80.0,270.0
0.0,20.4,84.0,129.0
0.0,20.4,86.0,332.0
0.0,20.3,85.0,18.0
0.0,20.0,86.0,300.0
0.0,19.8,88.0,272.0
0.0,19.6,90.0,252.0
0.0,19.6,90.0,294.0
0.0,20.5,87.0,316.0
0.0,21.4,83.0,278.0
0.0,22.9,74.0,295.0
0.0,23.9,71.0,324.0
0.0,24.7,66.0,305.0
2.6,21.4,80.0,268.0
